PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,PC80,PC81,PC82,PC83,PC84,PC85
90.23698123,-0.570843888,-23.96246229,9.031876503,-7.617706051,2.002107995,1.51026204,-1.917716328,1.596435737,-2.250097525,0.802125124,0.662528076,-0.272280567,-1.188064208,-0.136115753,0.99503144,-0.215190892,-0.179907715,-1.761144248,-1.004701062,1.27597612,0.807294073,-0.473656715,0.916362616,0.162378001,0.369856853,-0.340183202,0.547186244,1.114331527,0.65091975,1.270187671,-1.648266121,-0.648083605,0.803572952,1.359341022,-0.351321428,-0.063086254,-3.034162543,0.409744852,-0.319405794,1.357918884,-0.423314317,0.168331424,-0.90071631,-0.909601793,-0.685829135,2.772740566,-2.003403587,-1.829906648,2.584112372,-1.109737437,-1.330695535,0.874631802,-0.624240225,-0.61020063,0.518166111,-0.942176084,-1.586767533,-0.524761622,-0.075040949,0.720324733,0.910992662,-0.311723099,0.615427153,-0.902425641,0.998102586,-0.322435351,-0.335515874,0.525651752,-0.426149493,0.926415082,-1.342568399,-1.151132673,0.001517398,-0.687212503,-1.074231646,0.266568628,0.798143665,-0.348757528,0.762545898,-0.04869821,0.421296221,-0.205590597,-0.115233061,0.735437832
5.326365033,84.29030385,34.12880965,21.08237662,1.071126628,2.409911005,-1.826366697,-0.164939523,-0.522185164,1.359862205,-1.513069519,1.380133006,1.846003159,3.724830502,-0.15762912,-0.637993909,-1.423477086,-0.293120537,-0.462927392,-0.003955953,2.429516637,-0.639360643,-0.852689591,2.742452278,1.465519088,1.058881023,1.78461497,-0.348357946,0.460037787,-0.530742629,-1.61602235,-2.376944418,-1.544678037,1.245568586,1.885390149,-0.783143935,1.321882216,-0.838889124,-0.411587544,1.618255029,1.957763468,-0.131402959,0.132503025,0.996560343,-1.88419155,-1.41921253,-1.297624851,-0.15291093,0.541937347,0.009060634,0.59817739,-0.633563524,1.231657405,0.125064242,1.259415325,0.266897051,-0.861240921,-0.393202583,-0.877094631,0.550084355,-0.704878871,0.775887744,0.097283597,0.050156056,0.290444176,-0.187034758,-0.248587224,0.00672455,-0.111629899,-1.196012452,-0.399180108,0.726217802,1.019137699,-1.234232635,-0.422405869,0.268939536,-0.01585951,-0.262393375,1.449630099,0.933505999,0.497208938,0.374302522,-0.78979826,-0.651459541,-0.566508744
-2.39783317,-2.739742089,-4.242613262,3.988852588,0.815702671,-5.235233663,6.467282385,6.631377038,0.360397519,1.218977303,-3.454181821,1.33949994,8.481817069,-6.363375903,4.764031683,-10.61613324,-14.78888593,1.808442912,11.80789515,7.063276767,-31.97887233,-11.11470982,2.902171778,21.6547179,-6.38976191,-29.67225813,11.23282553,-7.298713972,-20.75668398,-2.952574058,33.40694844,-14.828276,-1.000330655,19.41499468,-4.246880954,20.44108993,-1.846595484,-21.70263765,-3.413655881,-0.341188792,13.25898442,-10.29566057,-8.962176781,16.72621498,5.062191804,-9.68834393,-28.89012133,20.75873301,-4.136960929,7.269866607,-0.231967913,1.406678042,3.055243231,-4.688675361,-1.80331452,13.92690258,-4.808594081,7.732074368,0.86288933,9.881974036,-4.488899819,2.998471544,-1.2309637,6.788354677,-12.41088767,-1.290549734,3.861573935,-2.47760625,1.826200666,-7.618622828,-1.473963004,0.987103273,4.233457587,7.363882543,0.569598571,-3.078990414,-2.149422159,-5.794805083,-2.37268883,-9.238338726,5.879404229,4.272269671,0.278147908,4.145349475,-5.062668329
-3.162938303,1.651463142,-2.727354044,0.200743029,-4.611734674,-0.511595207,-0.887013507,0.804687244,3.563196427,-7.340141852,-6.023125746,6.61335391,3.293310852,-9.159555697,1.025398912,-0.355315872,-4.15386558,0.487580245,1.196158868,8.655559954,-4.137863365,-11.75752593,1.283614299,4.83979923,4.834728898,1.53330617,-2.970682538,1.321613939,0.071615815,1.515624251,-19.10871955,-5.810157462,8.51217304,-3.040017376,-17.88140382,4.988769963,-1.627555022,9.592558267,-5.489286098,-0.416760376,0.833503777,12.19517022,-0.828655828,-7.625926186,3.125622447,10.27536234,5.238046326,10.49981571,11.21812865,-2.767331896,-19.92255176,0.736835919,-12.73418553,-15.89892855,8.979121327,33.5582475,-2.665674029,5.867117433,-2.164912777,-7.973740542,-6.703244562,9.79608986,30.47579433,8.945125721,0.175802219,0.534329615,-6.221972078,13.04410959,-2.63094064,-8.103343074,27.11826771,7.766090155,-0.952048334,13.77173586,-5.788203333,3.555842795,-4.400275583,30.47928186,-16.73795242,-12.44155276,-10.65392793,1.25954159,1.616966945,-5.979177391,13.39350408
-1.920951256,1.86791186,-1.405917733,-7.496399441,1.954570514,-5.293633562,-1.465224266,-4.192969925,1.670114718,4.974794534,6.333951318,-3.231808243,-2.830337191,2.373826211,-4.083814435,-0.32502489,3.284781887,-2.308338163,1.119131712,1.446085814,-0.06382279,7.054927423,3.300350908,-2.292715736,-7.578998859,-0.328088312,-2.632189157,0.160283367,2.679096122,-2.892155162,5.392624077,-1.790110064,7.576655954,-11.62327219,-1.518253645,6.234351275,2.869211199,-8.904780759,7.483068182,0.131494143,-10.55517823,2.635430601,-4.043069317,-4.508010515,-6.355399529,-0.634247636,3.378059727,-2.804765714,2.260993757,9.351194672,-12.45937491,-13.18750669,-3.553496564,-16.28892995,-13.72738241,0.504785695,12.05334326,12.17556487,14.70734016,3.490319104,-19.14954235,6.575355162,4.484997388,-0.500865489,-1.091800427,7.232495602,10.19982478,-15.94663961,-5.491379963,-18.31820848,-3.970950926,-25.93255765,17.77907962,-22.67551954,10.11801474,12.98359974,6.185037762,1.237845584,14.4783155,-5.738177359,18.20732805,-4.753120782,30.16415928,1.270056994,0.867937478
-5.659466329,-8.265581136,-1.909666663,10.39520924,6.150846898,5.17144418,7.818915438,-11.84262482,8.569482784,8.587618094,4.400037243,2.569634697,15.98792202,11.11695647,1.813999879,21.00847747,-16.49483785,-22.56313009,-49.4289046,17.66210051,41.25754775,-26.28963533,-1.031555421,7.948830374,8.454941202,-12.54891008,-28.63073745,-18.80907048,-0.728902635,20.29223599,1.847600073,-9.187312968,8.497531329,5.871471704,4.58986593,7.406864301,-2.2623438,4.627636132,-4.276567205,-15.67381919,0.033399889,-4.475785032,-7.817164908,7.903869077,-1.710779399,-8.018214577,-3.580277006,7.611629544,1.80289567,-4.854705298,-5.854501387,3.424310077,5.787315643,4.438996833,2.05969993,-7.924851497,1.440677572,0.099658098,-0.218275114,5.795711733,-3.059011554,0.525321575,-1.058652297,3.604073758,-2.459232613,4.611234623,-3.016731825,-2.220444666,-1.22232441,3.260055294,0.639168575,2.777276495,1.518046435,-1.077864592,2.936772496,-0.60879611,6.593741109,-0.309823603,-3.610618871,-0.966437129,5.181483851,-3.302273264,2.132198672,1.462758901,-2.265684229
-3.166630245,-0.215592755,-0.856709956,-10.05408313,-1.483582195,-4.023386943,0.421795417,2.288651751,2.656327967,-0.15578639,-4.038350678,-0.890754267,-3.583362509,5.494367138,-4.303337523,3.045276673,3.255768286,-5.805264585,-6.164384716,4.032000928,-3.695687559,10.31129194,-7.35180791,14.88544901,-4.141683582,-6.715126709,4.903871009,-11.75769649,8.107114725,-8.851852511,6.563780721,-0.551999632,2.167183092,-24.33488753,-0.234605917,6.158627455,-1.893410832,15.30351502,16.33218321,1.247904924,17.20794884,1.743290561,4.682893704,-14.45029152,-10.63301461,-1.038630227,5.470629538,6.376522244,-3.840969484,-10.24723223,-16.59366215,-1.618130182,-3.004210217,-4.696415019,-12.82345942,9.841579549,0.105421605,-18.61728941,-4.753998796,29.40161091,-6.060715592,-10.07286221,-12.00313762,-15.94168198,2.484105869,-4.082945534,-2.345455961,-0.538471512,3.278912845,-3.299662487,7.188572538,5.472782299,-8.827714603,-14.3092373,-1.503952212,-5.664199872,-4.296490517,10.83025517,27.09034573,-7.624558098,-7.159930587,-2.338721973,-16.27313464,15.38702384,-13.67717525
-5.780861915,-2.260956272,-3.274151627,-4.481350127,-4.890759687,-1.149923681,1.215108494,0.166120001,17.9671258,0.717687371,0.534163393,3.200673855,-2.101218452,-2.543725893,-1.021146737,1.006686264,-7.023030191,2.254460093,-2.857561239,-1.061010194,-4.632195474,11.52014223,-4.372278624,-2.205057022,-4.929814452,-7.273404436,-3.816236251,-0.5427486,-11.44796288,-1.033869028,-13.67413305,2.378051612,6.987360258,-7.559331967,-2.217772407,8.266027153,-15.18473376,-10.88921454,-16.46016371,20.03379145,3.934838482,1.191794227,8.949373828,9.877130193,-12.58453067,-1.465779002,3.472389399,-1.373163621,-6.545467668,13.90364336,4.318625187,9.031128731,21.58061496,-7.597027645,22.07425483,-13.00130786,-22.30961689,-5.296587169,-2.368946848,5.277083108,-5.927694625,4.057592749,-1.240352329,-5.411367998,31.41155852,-5.42346615,-7.718055024,3.542986631,27.83984465,-15.85923458,10.87953198,-0.471507173,-3.750648309,-18.77205101,5.514277756,3.988009917,15.53996638,11.29894855,-2.610213018,2.920187869,6.42914031,-2.415642654,13.43046209,-15.68137336,0.66971139
-1.120596446,0.348427815,-0.798548616,-0.46635158,-1.574153634,-4.605910048,-3.416523449,-2.613862751,8.827879906,-1.133820268,2.49695838,3.037405042,-2.944979306,-0.228925997,0.808987477,-3.390824379,-4.532047863,2.118031674,-0.5129561,-7.918421378,-6.413888652,4.538448579,-1.318808598,-5.404518332,0.940853333,0.858666039,-3.497437313,-5.222929859,-12.44937518,1.761670432,-3.543582677,-5.43673257,-7.463730842,0.170929829,-7.849734123,4.316208663,-15.09824769,2.181802058,3.146237022,13.88564402,-2.03066065,-2.456733575,1.63520423,-1.625747752,-10.14687662,3.787137207,-9.059872264,6.617176321,-20.68460189,-21.95292737,-7.204199357,-14.07083106,-4.55759059,14.44343387,-11.27415162,-4.955695477,9.558503269,-0.16688453,39.70332588,-21.71823314,-5.278728746,-4.815390197,-16.17016363,-4.837738242,-7.491661953,22.11261663,-30.09964263,1.692621745,2.376160697,6.652158667,4.106311995,14.85698033,4.825761201,-1.103089205,14.27512261,-20.00539102,-10.60698384,11.47931478,-1.656925908,-2.461967655,8.139098776,-17.26016411,-5.094954101,-15.78110774,2.900955081
-1.377561205,1.565979089,1.343386018,-6.782269576,2.913398806,-3.918822982,0.162795014,2.817085887,5.668919411,-4.338949325,1.545415724,-1.831431974,-6.703846933,-0.006989285,-2.327127193,-6.979522363,-2.546586926,-2.357963478,-0.856284466,0.432966835,-4.589503513,5.221276936,-1.623513404,4.684670231,10.63944878,4.760548893,6.600714568,-4.060937592,-0.454172636,10.640869,-5.121812404,1.671257048,0.588013674,-14.27346968,6.889037667,-8.06223917,-6.822568362,10.39915902,14.96942434,3.723950358,-10.8607069,-11.47000779,-10.69842917,-14.61398113,-1.472408522,4.467118566,-6.589303083,-2.943854537,-5.026169051,4.873247242,-12.06285734,6.700873907,2.117127974,10.61406087,-10.04227604,5.858470911,-11.58555235,20.98348543,3.20905086,-3.901431093,-11.55789564,15.63978116,-5.559865446,19.06578463,-4.945710347,-8.147986397,5.143022949,-10.41832397,-12.51425047,3.710210804,15.3544682,-19.1840447,-1.44889569,24.92732958,10.91804728,3.865921242,28.32942961,-11.40276143,-7.771676604,11.75621665,-12.29225415,-15.63202049,3.74057328,-7.195575162,-13.31199787
